Point A,Point B,Point C,Point D,Point E,Error Classification
"0.2807019358965,0.4244344252102","0.4211343666572,0.4556416320459","0.5366010319493,0.4275551458938","0.8549145416735,0.4181929838431","0.6801541833936,0.4244344252102",A
"0.5256835405573,0.2245299934992","0.1309621903588,0.5303057532548","0.2802085009625,0.1866406978221","0.2249766170537,0.616222017113","0.2679347489828,0.8739708086875",B
"0.3218181818182,0.41","0.3872727272727,0.81","0.8963636363636,0.3554545454545","0.4236363636364,0.3918181818182","0.8781818181818,0.6463636363636",A
"0.587052300456,0.2490774974587","0.6729685643142,0.0588343417727","0.8754854719799,0.2541463337106","0.6545579363446,0.5978113891433","0.7834323321318,0.9107920646267",B
"0.3148,0.3020909090909","0.3144,0.1093090909091","0.8963636363636,0.3554545454545","0.3792,0.2545090909091","0.8874,0.2778909090909",A
"0.6568924626906,0.9106327291667","0.4948789365581,0.6878641307344","0.77840260729,0.4988483502464","0.4543755550249,0.2423269338698","0.6231396447463,0.1005650985038",B
"0.8997328532321,0.8513263518145","0.5536123939174,0.413702782566","0.8082297432983,0.8911103126553","0.4621092839836,0.564881833761","0.4,0.4",C
"0.1677079737619,0.9229374813279","0.1279240129211,0.6882121123674","0.2989950445364,0.5489682494247","0.1120104285848,0.2824157117915","0.17566476593,0.0556471349991",B
"0.3874,0.2061090909091","0.0486,0.5691090909091","0.3628,0.0609090909091","0.0888,0.5691090909091","0.807,0.2545090909091",A
"0.5536123939174,0.5290762690043","0.5058716409084,0.4455299512386","0.6252235234308,0.4733787238272","0.6968346529441,0.6245577750221","0.6252235234308,0.5370330611724",E
"0.7286618216168,0.9666998382528","0.8798408728117,0.8035855988056","0.8,0.6","0.6132883351785,0.3460700491367","0.6132883351785,0.3460700491367",B
"0.3874,0.2061090909091","0.1208,0.5198909090909","0.3628,0.0609090909091","0.4276,0.3988909090909","0.6134,0.4956909090909",A
"0.9196248336525,0.8672399361508","0.1159888246689,0.2784373157074","0.8281217237187,0.7757368262171","0.9275816258206,0.7399312614604","0.0642696755759,0.3699404256412",C
"0.517,0.3755090909091","0.549,0.5682909090909","0.517,0.3755090909091","0.6134,0.4956909090909","0.1454,0.7376909090909",A
"0.5536123939174,0.5290762690043","0.688877860776,0.465421931659","0.6411371077671,0.5091842885839","0.8201649315505,0.5290762690043","0.7286618216168,0.5211194768361",E
"0.7343373242129,0.1682300698525","0.163607857155,0.2306668694891","0.3599878888308,0.0393556740652","0.1800571982777,0.18770873756","0.9471666970115,0.3902256452257",A
"0.533720413497,0.5290762690043","0.9236032297365,0.0994094919239","0.5735043743377,0.9468078578324","0.0921184481644,0.6802553201992","0.4621092839836,0.0954310958399",D
"0.6545579363446,0.2736250014182","0.0654178413171,0.1263399776613","0.3599878888308,0.0393556740652","0.3703003539637,0.0577663020348","0.8796610611229,0.1938456135499",A
"0.2830814602001,0.2744589196233","0.4,0.2","0.3109302327887,0.1988693940259","0.3507141936294,0.2505885431189","0.3467357975453,0.155107037101",E
"0.8400569119709,0.9030455009075","0.6610290881874,0.7319744692922","0.9076896454002,0.6086441906858","0.7286618216168,0.4495083473227","0.9355384179888,0.1511286410169",B
"0.8997328532321,0.517141080752","0.8758624767276,0.6325145671903","0.8758624767276,0.6325145671903","0.4461956996473,0.8274559753101","0.4103901348906,0.7160608849559",C
"0.3109302327887,0.9627214421687","0.4660876800677,0.8354127674782","0.2,0.6","0.482001264404,0.3977891982297","0.2472758954434,0.0914526997558",B
"0.2592110836956,0.9308942734961","0.1597511815937,0.7916504105534","0.2592110836956,0.6006873985177","0.330822213209,0.2306965626985","0.1637295776778,0.4415515551546",B
"0.8599488923913,0.6762769241151","0.8002729511302,0.2863941078756","0.378562966218,0.9030455009075","0.1836215580982,0.6484281515266","0.9076896454002,0.6524065476107",D
"0.2004291130942,0.2858987533979","0.0389090505107,0.0772449697423","0.4213566487295,0.1017924737018","0.3334790980245,0.1938456135499","0.7078285334065,0.2920356293878",A
"0.7127482372805,0.8950887087394","0.7644673863735,0.7797152223011","0.8400569119709,0.9110022930757","0.7803809707098,0.8433695596464","0.688877860776,0.823477579226",E
"0.4780228683199,0.7001473006196","0.2631894797797,0.1113446801762","0.947473606241,0.8990671048235","0.6,0.6","0.1319024090052,0.1511286410169",D
"0.5774827704218,0.6802553201992","0.8400569119709,0.2665021274552","0.4501740957314,0.568860229845","0.8,0.4","0.7127482372805,0.2744589196233",C
"0.3845353927903,0.279761877408","0.1616465703081,0.1805038218322","0.7711585801521,0.1927775738119","0.6587335254876,0.4443894893966","0.9410298210216,0.1927775738119",A
